Category,Subcategory,Date,Approval Authority Level,Notes,Amount
Marketing,,2021-03-26,2,As decision business information choice.,5.91
Admin Expenses,,2021-03-26,3,Pretty idea its success record thing.,9.8
Employee Compensation,Base Salary,2021-03-26,1,Parent management story decision service.,1.6
Cost of Goods Sold,,2021-03-27,2,Red dinner generation two drop.,2.69
R&D,,2021-03-27,1,Mention management sound color so fear.,2.49
Marketing,,2021-03-27,1,College class suddenly significant Mrs suggest.,11.93
Admin Expenses,,2021-03-27,2,Woman contain budget group.,3.47
Employee Compensation,Benefits,2021-03-27,1,Author different our everyone.,1.3
Cost of Goods Sold,,2021-03-28,1,Surface maintain likely inside tree less.,11.55
R&D,,2021-03-28,1,Only whose however maybe.,5.47
Marketing,,2021-03-28,3,Throw beautiful worry seat total center instead night.,7.93
Admin Expenses,,2021-03-28,3,He who rock race policy suffer blood.,2.27
Employee Compensation,Base Salary,2021-03-28,1,Land lawyer treat agency.,1.78
Cost of Goods Sold,,2021-04-01,2,Measure nation man hard rule line.,4.08
R&D,,2021-04-01,1,Machine certain small heart stay bar reach.,11.85
Marketing,,2021-04-01,3,Rate author country seek why behind tell.,6.68
Admin Expenses,,2021-04-01,3,And forward window true.,4.11
Employee Compensation,Benefits,2021-04-01,2,Do car feeling nothing.,1.15
Cost of Goods Sold,,2021-04-02,3,Either father red executive choice.,4.62
R&D,,2021-04-02,1,Material order serious thought high glass include.,4.85
Marketing,,2021-04-02,2,Hour north campaign leave.,8.17
Admin Expenses,,2021-04-02,1,Situation interview foreign series test.,3.88
Employee Compensation,Taxes,2021-04-02,3,Catch back positive find president fight.,1.48
Cost of Goods Sold,,2021-04-03,3,Cold can college who better.,11.16
R&D,,2021-04-03,3,Whom rich they star alone vote news.,8.67
Marketing,,2021-04-03,1,None religious charge hit.,1.46
Admin Expenses,,2021-04-03,2,Allow that trip even themselves.,4.0
Employee Compensation,Base Salary,2021-04-03,3,Campaign operation hear front seek audience.,1.29
Cost of Goods Sold,,2021-04-04,2,Thank yes network television.,3.02
R&D,,2021-04-04,2,Style magazine source weight care quickly.,9.07
Marketing,,2021-04-04,1,Myself dream three member shoulder.,2.78
Admin Expenses,,2021-04-04,1,Information attention maybe bit.,8.01
Employee Compensation,Benefits,2021-04-04,1,Identify organization plan ahead tend design.,1.22
Cost of Goods Sold,,2021-04-05,2,Parent catch truth eat once enjoy probably.,10.97
R&D,,2021-04-05,3,Religious director young PM evidence story above.,9.08
Marketing,,2021-04-05,1,Compare many hear painting drive listen feeling floor.,6.86
Admin Expenses,,2021-04-05,3,Evening admit some maintain choose.,11.65
Employee Compensation,Benefits,2021-04-05,3,Agreement go do sea.,1.45
Cost of Goods Sold,,2021-04-06,1,Cost involve try address around agree.,1.62
R&D,,2021-04-06,3,Sound ready their.,9.09
Marketing,,2021-04-06,3,Similar usually need road.,9.7
Admin Expenses,,2021-04-06,1,Training might hotel cost.,3.28
Employee Compensation,Benefits,2021-04-06,3,Fall site onto include he television lot.,1.25
Cost of Goods Sold,,2021-04-07,1,Stuff fill think school social debate.,10.62
R&D,,2021-04-07,1,Federal letter law that.,5.7
Marketing,,2021-04-07,1,Risk pattern down per.,6.14
Admin Expenses,,2021-04-07,3,Significant present so available occur bad front.,10.48
Employee Compensation,Base Salary,2021-04-07,1,Too vote effect only at.,1.06
Cost of Goods Sold,,2021-04-08,3,Cell economic head commercial difficult.,9.58
R&D,,2021-04-08,3,Million end real view.,9.21
Marketing,,2021-04-08,3,Too push sport change.,9.05
Admin Expenses,,2021-04-08,1,Sort recent marriage north environment job.,10.26
Employee Compensation,Taxes,2021-04-08,2,Green nearly window interesting Republican yeah.,1.5
Cost of Goods Sold,,2021-04-09,1,Time past ask analysis trade among.,7.31
R&D,,2021-04-09,2,Crime live maintain want moment second today.,1.93
Marketing,,2021-04-09,1,Left program discover fly you.,9.9
Admin Expenses,,2021-04-09,1,Security skill player step finish sound carry few.,2.13
Employee Compensation,Taxes,2021-04-09,3,Participant woman control page thus realize land.,1.72
Cost of Goods Sold,,2021-04-10,3,Back school your time heart behind firm news.,9.88
R&D,,2021-04-10,2,Tell what they when soon relationship kind.,4.24
Marketing,,2021-04-10,1,Even science individual.,7.61
Admin Expenses,,2021-04-10,3,City forget trip child American instead no baby.,9.71
Employee Compensation,Benefits,2021-04-10,3,Long source since city be kitchen edge.,1.5
Cost of Goods Sold,,2021-04-11,3,If seven suffer hair.,3.73
R&D,,2021-04-11,1,Site head important price me.,11.03
Marketing,,2021-04-11,3,Record step figure else push.,11.19
Admin Expenses,,2021-04-11,3,Old special police question crime person.,5.26
Employee Compensation,Bonuses,2021-04-11,1,Carry make writer kid tax history give.,1.77
Cost of Goods Sold,,2021-04-12,2,Although up lead beat.,6.28
R&D,,2021-04-12,2,Of moment dinner reality indeed speech Congress.,11.28
Marketing,,2021-04-12,2,Wonder century worry within play.,7.51
Admin Expenses,,2021-04-12,3,Opportunity final realize he at wife receive.,10.21
Employee Compensation,Base Salary,2021-04-12,3,Tell must his company.,1.08
Cost of Goods Sold,,2021-04-13,3,South suggest player or walk will.,4.91
R&D,,2021-04-13,1,Table station ahead discuss another detail reality administration.,2.86
Marketing,,2021-04-13,1,Movie determine health enjoy area himself couple.,1.38
Admin Expenses,,2021-04-13,3,Window community light information outside director finally.,1.89
Employee Compensation,Bonuses,2021-04-13,2,Tree newspaper plan brother society cold television main.,1.8
Cost of Goods Sold,,2021-04-14,1,Personal everyone floor meet education city performance.,9.56
R&D,,2021-04-14,1,Become role entire interesting since before finally.,10.55
Marketing,,2021-04-14,2,Receive real serve only.,9.37
Admin Expenses,,2021-04-14,2,Cell hope morning security.,3.29
Employee Compensation,Taxes,2021-04-14,1,Those action example service call control another.,1.23
Cost of Goods Sold,,2021-04-15,2,Morning tonight teacher four coach old.,11.37
R&D,,2021-04-15,3,Drive collection project which high.,7.95
Marketing,,2021-04-15,1,Area environmental rich Mr.,3.76
Admin Expenses,,2021-04-15,1,Manager place myself over expect state wait last.,9.5
Employee Compensation,Taxes,2021-04-15,3,Yourself particular trouble another.,1.55
Cost of Goods Sold,,2021-04-16,3,Common heavy each production admit consumer cold.,5.42
R&D,,2021-04-16,2,Safe although possible base hard.,5.02
Marketing,,2021-04-16,2,Instead similar kind city remember environmental build.,5.62
Admin Expenses,,2021-04-16,1,Buy born senior husband continue.,6.55
Employee Compensation,Benefits,2021-04-16,1,Foreign write care purpose.,1.74
Cost of Goods Sold,,2021-04-17,3,Eye bag fill he interest.,9.47
R&D,,2021-04-17,1,Poor design difference benefit staff front he.,1.11
Marketing,,2021-04-17,2,Author lead major community.,7.84
Admin Expenses,,2021-04-17,1,Recent analysis court minute.,4.5
Employee Compensation,Base Salary,2021-04-17,2,Reality then painting go daughter improve generation real.,1.0
Cost of Goods Sold,,2021-04-18,2,At over nice page I.,10.79
R&D,,2021-04-18,2,Notice process water party usually.,11.8
Marketing,,2021-04-18,2,Actually detail owner quite.,4.35
Admin Expenses,,2021-04-18,1,Around quite treatment so.,6.24
Employee Compensation,Bonuses,2021-04-18,3,Skill ago official.,1.6
Cost of Goods Sold,,2021-04-19,3,Loss understand clearly toward soon need.,6.0
R&D,,2021-04-19,2,Soldier choose difficult miss wrong hit serve.,7.95
Marketing,,2021-04-19,2,Each course once a could main.,6.03
Admin Expenses,,2021-04-19,2,Ok upon on study through conference lawyer pass.,2.75
Employee Compensation,Taxes,2021-04-19,1,Pressure recent always city senior development general scientist.,1.9
Cost of Goods Sold,,2021-04-20,3,Response least where painting soldier responsibility assume.,4.62
R&D,,2021-04-20,2,Among figure level remember ready health save.,5.7
Marketing,,2021-04-20,3,Company police mouth leader follow know offer.,5.45
Admin Expenses,,2021-04-20,1,Training different play space.,4.47
Employee Compensation,Benefits,2021-04-20,2,Task expect support music meet station.,1.48
Cost of Goods Sold,,2021-04-21,1,Model degree bad reason.,6.56
R&D,,2021-04-21,3,Couple glass our evening with into.,3.29
Marketing,,2021-04-21,1,None claim artist culture.,6.02
Admin Expenses,,2021-04-21,1,Group camera apply sit consumer billion.,5.35
Employee Compensation,Bonuses,2021-04-21,3,Allow why final anyone budget.,1.74
Cost of Goods Sold,,2021-04-22,2,Father test little.,11.14
R&D,,2021-04-22,1,Song themselves take themselves able nearly.,6.31
Marketing,,2021-04-22,1,Despite until agency beyond.,8.63
Admin Expenses,,2021-04-22,1,Anything charge evidence until.,5.1
Employee Compensation,Base Salary,2021-04-22,1,Economic despite situation huge.,1.79
Cost of Goods Sold,,2021-04-23,1,Strong available answer leave accept thought.,2.48
R&D,,2021-04-23,1,Sign discover find itself your likely wife.,2.11
Marketing,,2021-04-23,1,Believe lay money every treatment.,10.52
Admin Expenses,,2021-04-23,2,Hair at ten born she.,4.07
Employee Compensation,Taxes,2021-04-23,3,Religious TV determine professor.,1.18
Cost of Goods Sold,,2021-04-24,3,Available thing expert produce against exist.,9.69
R&D,,2021-04-24,3,Treat strong travel evening population book.,8.29
Marketing,,2021-04-24,1,Same leave set cut wall series.,10.42
Admin Expenses,,2021-04-24,3,Actually high business member.,2.72
Employee Compensation,Base Salary,2021-04-24,2,Ten item include go treatment one.,1.51
Cost of Goods Sold,,2021-04-25,1,Base behavior must all lose particularly drive.,5.51
R&D,,2021-04-25,1,Discover church present far.,9.08
Marketing,,2021-04-25,1,Increase blue gas fear particularly.,9.67
Admin Expenses,,2021-04-25,2,Situation where particularly Democrat.,5.84
Employee Compensation,Taxes,2021-04-25,3,Near people should exist.,1.58
Cost of Goods Sold,,2021-04-26,2,Act director hear.,2.54
R&D,,2021-04-26,1,Hospital series system how blood food marriage.,11.14
Marketing,,2021-04-26,3,Choice source Mrs no often.,9.25
Admin Expenses,,2021-04-26,2,Think fear night coach.,5.24
Employee Compensation,Taxes,2021-04-26,1,Throughout seat help car support.,1.34
Cost of Goods Sold,,2021-04-27,3,Sign state south choice matter listen.,1.3
R&D,,2021-04-27,3,Artist rest drug foot.,6.01
Marketing,,2021-04-27,2,Item car money politics beat item large.,3.5
Admin Expenses,,2021-04-27,3,Serious success national old six everyone.,3.43
Employee Compensation,Base Salary,2021-04-27,2,Television organization everything poor team industry create level.,1.48
Cost of Goods Sold,,2021-04-28,1,Water section in everyone provide house.,8.63
R&D,,2021-04-28,2,Though western song while serious firm factor.,9.6
Marketing,,2021-04-28,2,Eat perhaps describe eight new oil believe.,5.87
Admin Expenses,,2021-04-28,2,Child director many subject large.,2.66
Employee Compensation,Benefits,2021-04-28,3,Law when study enough cold.,1.0
Cost of Goods Sold,,2021-05-01,1,Involve admit process guess.,7.28
R&D,,2021-05-01,2,Police against people white of able sister.,2.98
Marketing,,2021-05-01,2,Model around decide two Congress.,7.37
Admin Expenses,,2021-05-01,1,Entire relate prepare against.,4.17
Employee Compensation,Base Salary,2021-05-01,3,Rest talk agree hit reality surface.,1.65
Cost of Goods Sold,,2021-05-02,1,Name change hour on until anyone.,6.85
R&D,,2021-05-02,1,Still worker who back.,9.89
Marketing,,2021-05-02,1,Certainly computer great.,9.99
Admin Expenses,,2021-05-02,2,However threat bit window loss.,1.71
Employee Compensation,Taxes,2021-05-02,3,No power really enough always financial doctor blue.,1.13
Cost of Goods Sold,,2021-05-03,1,Pattern benefit its appear apply performance exist.,8.59
R&D,,2021-05-03,3,Protect suddenly election two head beyond.,2.84
Marketing,,2021-05-03,3,Herself serious including today simply into provide.,11.53
Admin Expenses,,2021-05-03,1,Who let nature strategy than must.,8.63
Employee Compensation,Bonuses,2021-05-03,3,Full catch economy improve care.,1.93
Cost of Goods Sold,,2021-05-04,1,Step have over stuff.,1.33
R&D,,2021-05-04,1,Trip compare knowledge career major enter sport.,2.84
Marketing,,2021-05-04,2,Five serious make many camera large.,8.74
Admin Expenses,,2021-05-04,1,Return which pay win population this effort worker.,2.95
Employee Compensation,Benefits,2021-05-04,2,For six response successful keep people.,1.15
Cost of Goods Sold,,2021-05-05,2,Of story student.,3.06
R&D,,2021-05-05,1,Goal along my say range.,10.3
Marketing,,2021-05-05,1,Something condition whole.,9.72
Admin Expenses,,2021-05-05,3,Then team officer country.,7.59
Employee Compensation,Benefits,2021-05-05,3,Their think scientist until.,1.73
Cost of Goods Sold,,2021-05-06,2,Decide story force sea fill animal.,10.16
R&D,,2021-05-06,2,Sing good behavior trip traditional how.,3.79
Marketing,,2021-05-06,3,Argue decision civil form night.,9.73
Admin Expenses,,2021-05-06,2,Three land mention really will world.,7.16
Employee Compensation,Bonuses,2021-05-06,2,Born agent seem exist political camera.,1.84
Cost of Goods Sold,,2021-05-07,3,Suffer particular because suggest.,2.83
R&D,,2021-05-07,1,White manager down choose strategy laugh minute.,10.81
Marketing,,2021-05-07,1,Color deep night break kitchen sign.,4.06
Admin Expenses,,2021-05-07,1,Fly people exist fact box trip population.,8.29
Employee Compensation,Taxes,2021-05-07,2,Run local name personal professional.,1.9
Cost of Goods Sold,,2021-05-08,1,Cup close police describe second professor.,9.25
R&D,,2021-05-08,1,Clear carry wait husband entire prevent prove.,9.59
Marketing,,2021-05-08,1,Decide physical various many religious energy in.,3.03
Admin Expenses,,2021-05-08,1,Difficult exist local white war step price reduce.,6.66
Employee Compensation,Benefits,2021-05-08,3,Statement line glass rate degree study.,1.03
Cost of Goods Sold,,2021-05-09,2,Land deal car seven lose occur treatment.,6.54
R&D,,2021-05-09,2,Owner oil soldier police author.,8.99
Marketing,,2021-05-09,3,Place design side explain training reach serious.,2.52
Admin Expenses,,2021-05-09,1,Protect dinner bank another certain.,2.64
Employee Compensation,Base Salary,2021-05-09,2,Able expert throughout people.,1.86
Cost of Goods Sold,,2021-05-10,2,Note than commercial charge use special back throw.,10.98
R&D,,2021-05-10,2,Believe concern week.,1.16
Marketing,,2021-05-10,1,Leg about full article lay.,1.12
Admin Expenses,,2021-05-10,2,Not father cell entire into hold mother.,1.15
Employee Compensation,Benefits,2021-05-10,1,Pull success fire this conference end.,1.53
Cost of Goods Sold,,2021-05-11,1,Face drug hear ever both.,2.43
R&D,,2021-05-11,2,Final information indicate.,3.52
Marketing,,2021-05-11,1,Difficult difference during cover community bed.,9.07
Admin Expenses,,2021-05-11,2,High well religious near not article.,5.33
Employee Compensation,Benefits,2021-05-11,1,Method against decade run shake matter.,1.22
Cost of Goods Sold,,2021-05-12,3,Anything language ten religious require each all.,6.88
R&D,,2021-05-12,3,Keep throw knowledge soldier to beat already.,1.2
Marketing,,2021-05-12,1,Direction turn yet under rich father.,11.87
Admin Expenses,,2021-05-12,3,Difficult avoid much member.,11.86
Employee Compensation,Benefits,2021-05-12,1,Left believe outside economic development education understand.,1.18
Cost of Goods Sold,,2021-05-13,3,Safe people me yet better ask.,2.42
R&D,,2021-05-13,3,Case woman or attorney.,5.07
Marketing,,2021-05-13,1,Someone research ground plan laugh subject discover.,2.91
Admin Expenses,,2021-05-13,3,Agree out along edge.,5.43
Employee Compensation,Benefits,2021-05-13,1,Detail until later sure school over.,1.34
Cost of Goods Sold,,2021-05-14,2,Suffer feeling account Mr before table industry none.,9.19
R&D,,2021-05-14,1,Know book attention including explain sing.,1.38
Marketing,,2021-05-14,2,Policy pull change score American.,3.66
Admin Expenses,,2021-05-14,3,Buy argue name.,7.46
Employee Compensation,Benefits,2021-05-14,1,Music bank yard kind education sister.,1.2
Cost of Goods Sold,,2021-05-15,1,Item society television spring run third.,1.85
R&D,,2021-05-15,2,Similar special treatment better.,2.03
Marketing,,2021-05-15,3,Put reach physical stop situation long before.,8.25
Admin Expenses,,2021-05-15,2,Project audience situation list order candidate.,11.89
Employee Compensation,Bonuses,2021-05-15,2,Author lose church food budget ready.,1.11
Cost of Goods Sold,,2021-05-16,3,Let tax compare appear.,4.59
R&D,,2021-05-16,2,Build course away really series which especially.,3.54
Marketing,,2021-05-16,1,Join agency song long attorney measure argue.,11.31
Admin Expenses,,2021-05-16,3,Hair face reason what town.,2.06
Employee Compensation,Base Salary,2021-05-16,3,Treatment try phone two get oil benefit.,1.91
Cost of Goods Sold,,2021-05-17,3,Generation begin back describe hundred last.,7.88
R&D,,2021-05-17,1,North from consider more all skin health five.,3.09
Marketing,,2021-05-17,1,Throw even anyone than situation number prepare.,8.5
Admin Expenses,,2021-05-17,1,Begin fill need this sometimes.,1.8
Employee Compensation,Taxes,2021-05-17,3,Across over market everybody stuff data.,1.79
Cost of Goods Sold,,2021-05-18,3,Establish town community both rate me.,9.66
R&D,,2021-05-18,1,With method show wrong.,6.51
Marketing,,2021-05-18,2,Forward for maintain help rate.,9.87
Admin Expenses,,2021-05-18,3,Four better rest on job family.,10.42
Employee Compensation,Benefits,2021-05-18,2,Story still east gas.,1.94
Cost of Goods Sold,,2021-05-19,3,Look between letter bill enjoy must.,2.07
R&D,,2021-05-19,1,Blue short general drop oil.,4.92
Marketing,,2021-05-19,2,Water follow our recent smile option bed.,7.61
Admin Expenses,,2021-05-19,1,Truth benefit campaign.,1.5
Employee Compensation,Base Salary,2021-05-19,2,Week student receive because.,1.74
Cost of Goods Sold,,2021-05-20,1,Through could meeting industry pretty husband dog.,5.45
R&D,,2021-05-20,3,Rock although street travel nation group.,11.37
Marketing,,2021-05-20,1,Huge interesting nor many reality.,8.24
Admin Expenses,,2021-05-20,2,Prepare democratic beyond.,5.45
Employee Compensation,Bonuses,2021-05-20,2,Writer official he five.,1.18
Cost of Goods Sold,,2021-05-21,1,Site every prove.,7.55
R&D,,2021-05-21,1,Work effect believe after space suffer size.,9.57
Marketing,,2021-05-21,2,International turn successful issue special.,11.44
Admin Expenses,,2021-05-21,3,Cup issue phone least week.,1.91
Employee Compensation,Base Salary,2021-05-21,1,Former provide consider decade house.,1.53
Cost of Goods Sold,,2021-05-22,2,Identify large several.,7.6
R&D,,2021-05-22,3,Trip design stop character radio direction character.,8.86
Marketing,,2021-05-22,3,Pattern black policy might military several.,6.21
Admin Expenses,,2021-05-22,1,Together mean successful meet and visit must.,5.73
Employee Compensation,Base Salary,2021-05-22,3,Reveal anything court society add color enter.,1.85
Cost of Goods Sold,,2021-05-23,1,Article season strong city night drop power industry.,11.96
R&D,,2021-05-23,1,Agency shoulder line.,11.94
Marketing,,2021-05-23,3,Often international today cup entire national federal.,9.72
Admin Expenses,,2021-05-23,1,Piece certainly entire family.,1.92
Employee Compensation,Benefits,2021-05-23,3,Catch attention knowledge hope finish hold.,1.9
Cost of Goods Sold,,2021-05-24,2,Include answer organization authority nation lose.,4.66
R&D,,2021-05-24,1,Century control care develop listen someone see.,6.73
Marketing,,2021-05-24,2,Structure street rich cold.,10.03
Admin Expenses,,2021-05-24,3,Often home at TV.,3.84
Employee Compensation,Benefits,2021-05-24,2,Party official ground hot.,1.4
Cost of Goods Sold,,2021-05-25,1,Price music race near.,4.81
R&D,,2021-05-25,1,Ready outside long let rise affect thing adult.,8.02
Marketing,,2021-05-25,3,Success sound poor.,11.6
Admin Expenses,,2021-05-25,1,Peace success board improve door huge will.,5.45
Employee Compensation,Bonuses,2021-05-25,2,Everyone western discussion east along study.,1.97
Cost of Goods Sold,,2021-05-26,3,Dark majority reduce girl dark.,10.27
R&D,,2021-05-26,1,Key box others alone idea country.,9.82
Marketing,,2021-05-26,2,Score process bank politics director program.,11.55
Admin Expenses,,2021-05-26,1,Recent listen lay condition special.,5.93
Employee Compensation,Benefits,2021-05-26,3,Remain talk between require day girl.,1.2
Cost of Goods Sold,,2021-05-27,1,Hour movement system.,9.22
R&D,,2021-05-27,2,Miss information choice almost.,6.94
Marketing,,2021-05-27,3,These red various also.,6.95
Admin Expenses,,2021-05-27,1,Its next goal.,8.09
Employee Compensation,Base Salary,2021-05-27,2,Successful beyond financial seem reach education.,1.81
Cost of Goods Sold,,2021-05-28,3,Fight but tend situation great finally size.,6.69
R&D,,2021-05-28,1,War action now movie act certainly.,8.87
Marketing,,2021-05-28,2,Reason minute through three require memory Mrs course.,9.84
Admin Expenses,,2021-05-28,1,Wait for work rest medical music.,1.27
Employee Compensation,Taxes,2021-05-28,1,Least begin music respond interview.,1.57
Cost of Goods Sold,,2021-06-01,2,Across center before involve can.,8.58
R&D,,2021-06-01,3,Sometimes you young say foreign teach.,9.23
Marketing,,2021-06-01,1,Kid quickly realize.,9.9
Admin Expenses,,2021-06-01,2,Us though them camera media ready population.,3.02
Employee Compensation,Base Salary,2021-06-01,2,Idea grow southern decide hope building.,1.39
Cost of Goods Sold,,2021-06-02,3,Young floor couple five.,3.99
R&D,,2021-06-02,2,Partner popular knowledge official hour officer degree choice.,5.25
Marketing,,2021-06-02,3,Over large could night.,8.9
Admin Expenses,,2021-06-02,3,Condition society return similar be.,2.61
Employee Compensation,Bonuses,2021-06-02,1,Want because feeling least board card beautiful he.,1.39
Cost of Goods Sold,,2021-06-03,2,Analysis article fish report through.,2.69
R&D,,2021-06-03,2,Western sit turn everything data.,11.76
Marketing,,2021-06-03,2,Direction light true thousand.,4.78
Admin Expenses,,2021-06-03,3,Hope because around rest personal nature provide.,4.07
Employee Compensation,Base Salary,2021-06-03,2,Near it marriage born plan.,1.98
Cost of Goods Sold,,2021-06-04,3,Capital win exactly project court available think participant.,5.63
R&D,,2021-06-04,3,Picture adult hear option generation avoid service believe.,5.59
Marketing,,2021-06-04,1,Structure agency pay realize remember.,5.17
Admin Expenses,,2021-06-04,1,These wife Congress about whether show she.,1.15
Employee Compensation,Taxes,2021-06-04,3,Age book store open memory dog.,1.46
Cost of Goods Sold,,2021-06-05,2,Provide history understand travel.,7.31
R&D,,2021-06-05,1,End clear any idea thing rock floor election.,7.25
Marketing,,2021-06-05,2,Ability responsibility top his serve.,4.13
Admin Expenses,,2021-06-05,1,Door grow anything style now fact idea different.,1.07
Employee Compensation,Benefits,2021-06-05,3,Instead fall politics ten tend country tree development.,1.45
Cost of Goods Sold,,2021-06-06,2,Indicate month board suddenly life because various money.,9.55
R&D,,2021-06-06,1,Notice this south friend you ahead simple instead.,6.79
Marketing,,2021-06-06,2,Night player ahead stuff yard start try meeting.,8.82
Admin Expenses,,2021-06-06,3,Quality green before major quality much account hour.,8.23
Employee Compensation,Taxes,2021-06-06,1,Increase away central author future just partner.,1.04
Cost of Goods Sold,,2021-06-07,1,Forward low very bank tell.,4.95
R&D,,2021-06-07,3,Leave under industry their rest stay.,7.47
Marketing,,2021-06-07,2,Not like young if difference hot nice.,2.5
Admin Expenses,,2021-06-07,3,Lay around above focus Mr.,1.26
Employee Compensation,Benefits,2021-06-07,3,Theory word school.,1.63
Cost of Goods Sold,,2021-06-08,2,Million range north cultural degree answer remain.,2.33
R&D,,2021-06-08,3,Enough talk security.,9.61
Marketing,,2021-06-08,3,That paper loss win.,2.83
Admin Expenses,,2021-06-08,2,Future reality play per.,4.73
Employee Compensation,Base Salary,2021-06-08,1,Citizen few consumer cut.,1.03
Cost of Goods Sold,,2021-06-09,2,Summer reality many goal community full history.,8.2
R&D,,2021-06-09,1,Road interest road much common amount need.,2.99
Marketing,,2021-06-09,3,Cover yourself watch throw beyond full.,11.76
Admin Expenses,,2021-06-09,2,Field less explain drug evening.,2.01
Employee Compensation,Benefits,2021-06-09,2,Bed not face growth power best court region.,1.52
Cost of Goods Sold,,2021-06-10,1,Chance as like store.,2.96
R&D,,2021-06-10,2,School himself clearly nor policy down recent.,4.67
Marketing,,2021-06-10,2,Animal source cover will left.,10.07
Admin Expenses,,2021-06-10,1,In somebody happen third mother into.,8.56
Employee Compensation,Taxes,2021-06-10,1,Project company deep administration down.,1.69
Cost of Goods Sold,,2021-06-11,2,Operation during plan describe thing paper yet.,4.49
R&D,,2021-06-11,1,Common six member discuss.,8.89
Marketing,,2021-06-11,2,Two send marriage scene nor.,11.68
Admin Expenses,,2021-06-11,1,Particularly everybody position source memory answer.,11.77
Employee Compensation,Benefits,2021-06-11,1,Stop consider deal cultural method parent activity.,1.77
Cost of Goods Sold,,2021-06-12,1,Recently your machine generation media live.,8.46
R&D,,2021-06-12,3,Positive store recognize bank.,1.73
Marketing,,2021-06-12,1,Important degree class treat meeting build specific.,8.95
Admin Expenses,,2021-06-12,1,Former so why seat.,9.8
Employee Compensation,Taxes,2021-06-12,2,Memory yeah step ever peace factor within.,1.01
Cost of Goods Sold,,2021-06-13,3,Movie recently charge expect letter statement suffer degree.,5.72
R&D,,2021-06-13,1,Against game rise cell trial or.,5.73
Marketing,,2021-06-13,1,Ability including force employee agree ahead.,3.55
Admin Expenses,,2021-06-13,3,While at sit east by.,6.66
Employee Compensation,Benefits,2021-06-13,3,Vote item successful industry girl baby.,1.37
Cost of Goods Sold,,2021-06-14,2,Better song use number rest.,8.89
R&D,,2021-06-14,3,Why series state attorney.,10.0
Marketing,,2021-06-14,2,Understand can life read marriage building.,9.67
Admin Expenses,,2021-06-14,3,Ten source brother.,8.57
Employee Compensation,Bonuses,2021-06-14,2,Her would paper power such yard later week.,1.65
Cost of Goods Sold,,2021-06-15,3,Us television identify decision.,8.05
R&D,,2021-06-15,3,Light your single its food Mrs career.,10.8
Marketing,,2021-06-15,3,This over pick theory.,9.05
Admin Expenses,,2021-06-15,1,Tree star training red sell.,11.69
Employee Compensation,Benefits,2021-06-15,1,Structure class itself safe happy.,1.15
Cost of Goods Sold,,2021-06-16,2,Trip concern sign hundred development tree name.,5.54
R&D,,2021-06-16,2,He allow draw.,6.14
Marketing,,2021-06-16,1,Behavior record star million individual.,5.88
Admin Expenses,,2021-06-16,1,Assume too education enjoy.,11.35
Employee Compensation,Benefits,2021-06-16,1,Mother future administration community special.,1.5
Cost of Goods Sold,,2021-06-17,1,Painting week decision trouble space other college.,11.99
R&D,,2021-06-17,1,This third state reflect too.,6.38
Marketing,,2021-06-17,1,Loss possible only skin rest professional mouth order.,1.84
Admin Expenses,,2021-06-17,2,Size Mr wall something.,8.43
Employee Compensation,Bonuses,2021-06-17,1,Prevent then reality alone personal.,1.32
Cost of Goods Sold,,2021-06-18,3,Often white center despite both figure board.,4.06
R&D,,2021-06-18,2,Law since baby create show stay rather.,6.69
Marketing,,2021-06-18,2,Magazine standard century.,7.28
Admin Expenses,,2021-06-18,2,Program white himself better bed report though answer.,5.16
Employee Compensation,Base Salary,2021-06-18,3,Sign citizen under prepare reveal itself remain.,1.27
Cost of Goods Sold,,2021-06-19,1,Group sort heavy these.,7.98
R&D,,2021-06-19,1,Chair return investment politics though successful appear.,6.38
Marketing,,2021-06-19,2,Institution light knowledge him fall.,3.76
Admin Expenses,,2021-06-19,2,Field discuss rock.,1.03
Employee Compensation,Base Salary,2021-06-19,3,Set maybe avoid teacher.,1.48
Cost of Goods Sold,,2021-06-20,1,Various always later media economic.,8.04
R&D,,2021-06-20,3,Person order left eight despite.,3.99
Marketing,,2021-06-20,1,Fill political matter job production child.,10.26
Admin Expenses,,2021-06-20,3,Wall change rather item behind those nation hundred.,1.79
Employee Compensation,Benefits,2021-06-20,2,Second land write agree.,1.94
Cost of Goods Sold,,2021-06-21,3,Full difficult bad.,1.74
R&D,,2021-06-21,1,Make know night option game provide nice.,9.5
Marketing,,2021-06-21,3,Short require nice tonight similar traditional.,2.31
Admin Expenses,,2021-06-21,1,Quality movie meeting no game.,9.0
Employee Compensation,Base Salary,2021-06-21,2,Bring series statement throw image.,1.08
Cost of Goods Sold,,2021-06-22,2,A machine idea always tree.,2.04
R&D,,2021-06-22,1,Deep black strong much table everything phone.,11.97
Marketing,,2021-06-22,2,Nature become class direction account not word.,11.48
Admin Expenses,,2021-06-22,1,Rich trade parent whether too.,5.72
Employee Compensation,Taxes,2021-06-22,1,Animal manage will deep arrive recently really.,1.94
Cost of Goods Sold,,2021-06-23,3,Hit trial government.,2.13
R&D,,2021-06-23,2,Deep war camera rise dark food degree your.,7.66
Marketing,,2021-06-23,3,Though herself either.,7.56
Admin Expenses,,2021-06-23,1,Admit among step serious they.,4.29
Employee Compensation,Bonuses,2021-06-23,3,Citizen however consider month these compare serious over.,1.76
